Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
63,0.8614832819611938,0.09122663681153897,-1.9627839415161699,1.7229665826868128,1.3553856997578233,2.617570596712607,0.8283625432738552,1.7229665826868128,0.9823419898748398,0.9823419898748398,3,3,3,3,16,16,16,16
64,0.8847475096031472,0.09310675536592801,-1.958783123228285,1.769495008168397,1.3899562380931996,2.6975290135101035,0.8414610635351252,1.769495008168397,0.8903700397349894,0.8903700397349894,3,3,3,3,16,16,16,16
65,0.8638704082480183,0.09333945024344656,-1.9591679330225344,1.7277408772044711,1.4191336786305462,2.628530305844766,0.826951449667966,1.7277408772044711,0.8465679292049673,0.8465679292049673,3,3,3,3,16,16,16,16
66,0.8649675487368195,0.09252330067533034,-1.9573821072225217,1.7299351195494335,1.3706926184671897,2.627222119658082,0.8326481023320446,1.7299351195494335,0.9511991693741746,0.9511991693741746,2,2,3,2,16,16,16,16
67,0.9040388586344542,0.09265105702258923,-1.9480818797040869,1.8080777244435415,1.3719732639966187,2.7728277014361487,0.843327761248306,1.8080777244435415,0.9765347100242421,0.9765347100242421,3,3,3,3,16,16,16,16
68,0.8707556122982943,0.09368585132890278,-1.9516442594704804,1.7415112279079579,1.3137677002836157,2.6548533417560436,0.8281690875689188,1.7415112279079579,1.0101519763745643,1.0101519763745643,3,3,3,3,16,16,16,16
69,0.8604012065463595,0.09216789528727531,-1.9542071046652618,1.7208024307533547,1.3630616278560073,2.611560817118044,0.8300440112749735,1.7208024307533547,0.9900092747476366,0.9900092747476366,3,3,3,3,16,16,16,16
70,0.8901314989284232,0.09378397837281227,-1.9523429296634816,1.7802630066871643,1.422247705636201,2.7176516740410417,0.8428743680318197,1.7802630066871643,0.8809000751762478,0.8809000751762478,3,3,3,3,16,16,16,16
71,0.8699895474645827,0.09583548070104034,-1.9542393507780853,1.739979103759483,1.3633862601386175,2.645792468830391,0.83416573813668,1.739979103759483,0.9051348994727488,0.9051348994727488,3,3,3,3,16,16,16,16
72,0.8479754728851495,0.09296294481114105,-1.958189207094687,1.6959509507373527,1.4632171591122944,2.564346027043131,0.8275558744315747,1.6959509507373527,0.9937921506007789,0.9937921506007789,3,3,3,3,16,16,16,16
73,0.8547569107678201,0.09261453869166197,-1.9579024226577193,1.7095138358849067,1.4484066819703136,2.581255199180709,0.8377725112217443,1.7095138358849067,0.9813580192384068,0.9813580192384068,3,3,3,3,16,16,16,16
74,0.8466142443595109,0.09156777930480463,-1.9589310111822906,1.6932285174175545,1.4406137907946552,2.559350726781068,0.8271062975680387,1.6932285174175545,1.0173009553217087,1.0173009553217087,3,3,3,3,16,16,16,16
75,0.8453694835857108,0.09207418795537066,-1.959394841282456,1.6907389721384756,1.4490977006929893,2.5537381166661226,0.8277398761775758,1.6907389721384756,1.0781071790390544,1.0781071790390544,3,3,3,3,16,16,16,16
76,0.8502038871800458,0.0924717040249595,-1.9597497008464955,1.7004078140965215,1.4974880715211232,2.5718242084538496,0.8289914009747682,1.7004078140965215,0.9658464771453981,0.9658464771453981,3,3,3,3,16,16,16,16
