epoch,model_name,kl1,kl2,loss_rec,loss_cor,spec_total_loss,psnr,total_smoothness_loss,total_freq_weighted_loss,z1_private,z1_share,z_sample
66,JointCNNBasedVAE,0.0,0.0,6.301561370491982e-05,0.0,0.0009014387615025043,0.624599814414978,0.00013465509982779622,0.00021450614440254867,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
67,JointCNNBasedVAE,0.0,0.0,0.000105181650724262,0.0,0.0012007101904600859,0.6038062572479248,0.0001985127746593207,0.00026348253595642745,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
68,JointCNNBasedVAE,0.0,0.0,5.389143552747555e-05,0.0,0.0008059704559855163,0.6309482455253601,3.144519359921105e-05,0.00019121868535876274,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
69,JointCNNBasedVAE,0.0,0.0,4.295499456929974e-05,0.0,0.0007330998778343201,0.6401545405387878,7.778416329529136e-05,0.00017768102406989783,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
70,JointCNNBasedVAE,0.0,0.0,8.274907304439694e-05,0.0,0.0010396838188171387,0.6135424375534058,0.0002374737086938694,0.00022120114590507,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
71,JointCNNBasedVAE,0.0,0.0,6.100274185882881e-05,0.0,0.0008781717042438686,0.6259174942970276,0.00010940300126094371,0.00020777953614015132,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
72,JointCNNBasedVAE,0.0,0.0,5.4665200877934694e-05,0.0,0.0008358540944755077,0.6303696632385254,8.94351614988409e-05,0.0002038247766904533,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
73,JointCNNBasedVAE,0.0,0.0,6.25201064394787e-05,0.0,0.0009070676751434803,0.6249202489852905,0.0001141735992860049,0.00021705996186938137,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
74,JointCNNBasedVAE,0.0,0.0,6.33712625131011e-05,0.0,0.0008727697422727942,0.624371349811554,1.1089597137470264e-05,0.00020222802413627505,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
75,JointCNNBasedVAE,0.0,0.0,4.876923776464537e-05,0.0,0.000771337014157325,0.6350018978118896,7.598324737045914e-05,0.00018225620442535728,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
